County,POE Name,Status,Geometry,Crossing Types,Lane Types,Delay,Year,Month,Date
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,30,2017,February,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2015,January,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,12,2017,October,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,26,2016,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,54,2016,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2012,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,13,2020,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,32,2017,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,45,2017,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,59,2021,October,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,7,2014,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,10,2017,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,10,2021,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,10,2017,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,47,2014,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,10,2017,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,1,2011,November,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,9,2017,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,11,2018,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,,2018,November,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2013,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,1,2019,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,7,2013,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,43,2018,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,93,2021,April,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2015,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,32,2015,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,10,2014,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,32,2017,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,44,2013,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,23,2012,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,36,2018,March,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2013,June,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2015,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,37,2017,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,13,2013,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2013,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,56,2013,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,,2018,December,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,11,2012,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,17,2015,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,9,2012,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,35,2015,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2014,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,51,2022,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,7,2017,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,7,2019,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,26,2020,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,5,2017,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,12,2019,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,9,2016,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,13,2017,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,26,2021,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,10,2018,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,,2018,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,46,2018,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,11,2019,March,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,50,2019,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,40,2019,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,52,2019,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,24,2011,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,31,2021,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,52,2021,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,20,2015,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2013,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,8,2017,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2016,February,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,,2014,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,18,2016,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,10,2013,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2012,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,7,2017,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2015,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,1,2017,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2012,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,38,2019,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,47,2013,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,4,2020,April,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,6,2018,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,21,2016,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2013,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2018,October,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2013,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2014,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,14,2021,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2013,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,5,2020,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,31,2013,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,47,2018,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,14,2021,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2017,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,52,2012,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,49,2020,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,31,2019,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2016,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,13,2021,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,1,2019,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,8,2021,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,36,2013,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2015,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2014,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,52,2015,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2014,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2016,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,3,2020,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,12,2021,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,32,2014,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,33,2021,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,11,2019,September,
