County,POE Name,Status,Geometry,Crossing Types,Lane Types,Delay,Year,Month,Date
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,7,2019,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,10,2018,March,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,3,2018,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,64,2020,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2016,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,9,2016,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2016,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,40,2020,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2014,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,44,2013,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,5,2013,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,25,2022,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2015,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,2,2015,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,9,2020,March,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,11,2018,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,61,2019,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,42,2017,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,49,2012,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,,2019,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,13,2021,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,76,2018,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,50,2021,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,,2014,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,50,2017,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2015,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,9,2021,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,18,2018,January,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,16,2015,August,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2014,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,10,2021,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2014,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,22,2020,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2014,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2012,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,3,2016,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,72,2014,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2014,March,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,13,2017,March,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,3,2017,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,12,2017,November,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,14,2016,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,13,2020,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,22,2020,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,,2014,August,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2015,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2015,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2013,March,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,31,2016,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,3,2019,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,52,2014,June,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2015,March,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2018,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,53,2021,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,22,2014,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,,2014,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2013,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2016,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,18,2015,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,25,2019,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,46,2020,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,83,2020,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,2,2015,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2016,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,4,2020,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,7,2019,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,50,2017,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,40,2012,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,5,2011,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,FAST,10,2012,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,41,2016,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2011,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,34,2017,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2014,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,32,2015,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2015,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,80,2013,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2013,July,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2016,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,9,2015,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2012,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2013,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2015,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,39,2021,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,28,2014,March,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,7,2020,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2012,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,41,2021,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2014,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,11,2019,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,46,2017,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,19,2014,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,31,2018,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,16,2021,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,26,2013,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,11,2015,April,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2018,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,50,2018,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,33,2012,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,34,2015,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,FAST,8,2011,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,57,2022,January,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,10,2021,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,117,2021,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,24,2018,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,,2019,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,6,2017,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,65,2020,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,9,2016,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,37,2016,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,7,2021,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,38,2013,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,7,2013,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,,2014,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,2,2016,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,52,2012,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,,2019,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2012,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,19,2021,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,26,2021,January,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,3,2011,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2014,March,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2013,November,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,19,2021,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,20,2021,February,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,4,2014,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,5,2017,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,20,2012,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2014,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2015,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,20,2014,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,,2014,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,,2014,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,33,2017,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,5,2020,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2014,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2014,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2016,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,31,2015,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,4,2011,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,7,2019,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2015,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,7,2012,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,5,2014,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,18,2017,November,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,8,2021,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,7,2020,October,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2013,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,59,2020,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,19,2013,October,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,8,2014,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,3,2012,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,43,2014,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,19,2021,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,3,2015,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,11,2018,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,9,2017,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2015,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,2,2020,February,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2019,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,11,2018,February,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,4,2012,November,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,35,2015,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,2,2015,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2014,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,8,2020,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2015,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2016,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,1,2019,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,7,2019,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,4,2019,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,64,2021,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,13,2017,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,58,2021,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,33,2016,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,63,2016,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,38,2018,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2016,November,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,11,2013,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,26,2011,October,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2013,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,,2018,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2014,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,8,2017,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,7,2019,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2014,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,15,2016,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2018,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,18,2015,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,63,2020,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,44,2013,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2015,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,20,2021,March,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,5,2019,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,53,2020,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,11,2022,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,25,2015,March,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,7,2020,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,7,2019,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,57,2020,November,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,65,2021,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2015,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2015,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,,2018,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,50,2014,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2014,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,43,2018,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,6,2012,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,6,2020,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2016,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2015,June,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,37,2021,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,8,2021,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,27,2013,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2016,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,3,2021,June,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2015,October,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2013,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2015,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,59,2022,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,42,2016,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,8,2017,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,15,2019,October,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,2,2014,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2013,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,42,2018,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,46,2019,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,41,2017,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,11,2021,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2012,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,80,2019,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,5,2020,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,16,2016,February,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,40,2017,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,97,2021,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,40,2016,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,10,2014,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,36,2016,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2012,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,32,2017,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,20,2016,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,44,2020,March,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,28,2012,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,12,2020,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2015,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,7,2015,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2017,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2015,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,7,2020,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,11,2017,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,24,2019,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,40,2021,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,41,2013,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,7,2017,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,7,2019,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,15,2017,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,9,2019,June,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,34,2012,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,,2018,October,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2013,July,
