Date,County,POE Name,Status,Crossing Types,Lane Types,Delay,Geometry
07/01/2019 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,10,POINT (-117.0294681170711 32.54316318124256)
04/01/2020 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,20,POINT (-116.62749875679889 32.57652396492499)
09/01/2020 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,8,POINT (-116.62749875679889 32.57652396492499)
09/01/2018 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,,POINT (-116.62749875679889 32.57652396492499)
10/01/2020 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,34,POINT (-115.38766748631362 32.67336532617336)
10/01/2013 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
10/01/2020 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,10,POINT (-117.0294681170711 32.54316318124256)
04/01/2013 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,7,POINT (-116.62749875679889 32.57652396492499)
01/01/2018 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,32,POINT (-114.72822550381008 32.718470005577316)
08/01/2012 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,0,POINT (-115.38766748631362 32.67336532617336)
04/01/2018 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,10,POINT (-117.0294681170711 32.54316318124256)
02/01/2021 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,11,POINT (-114.72822550381008 32.718470005577316)
12/01/2016 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,7,POINT (-114.72822550381008 32.718470005577316)
09/01/2021 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,5,POINT (-114.72822550381008 32.718470005577316)
11/01/2017 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,Standard,11,POINT (-115.38766748631362 32.67336532617336)
10/01/2018 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,,POINT (-115.49633142030937 32.665128403179615)
07/01/2012 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,FAST,13,POINT (-115.38766748631362 32.67336532617336)
06/01/2017 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,17,POINT (-116.62749875679889 32.57652396492499)
06/01/2018 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,42,POINT (-115.38766748631362 32.67336532617336)
12/01/2018 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,,POINT (-117.0294681170711 32.54316318124256)
02/01/2017 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,25,POINT (-117.0294681170711 32.54316318124256)
02/01/2015 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,3,POINT (-116.62749875679889 32.57652396492499)
04/01/2019 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,5,POINT (-116.62749875679889 32.57652396492499)
01/01/2019 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,SENTRI,5,POINT (-115.38766748631362 32.67336532617336)
05/01/2020 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,11,POINT (-117.0294681170711 32.54316318124256)
02/01/2018 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,17,POINT (-115.49633142030937 32.665128403179615)
05/01/2017 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,11,POINT (-117.0294681170711 32.54316318124256)
08/01/2016 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,,POINT (-115.49633142030937 32.665128403179615)
11/01/2015 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,,POINT (-114.72822550381008 32.718470005577316)
03/01/2020 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,2,POINT (-115.38766748631362 32.67336532617336)
01/01/2016 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,15,POINT (-116.62749875679889 32.57652396492499)
08/01/2014 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,,POINT (-115.38766748631362 32.67336532617336)
12/01/2018 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,,POINT (-115.38766748631362 32.67336532617336)
10/01/2017 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,38,POINT (-115.38766748631362 32.67336532617336)
05/01/2017 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,1,POINT (-115.38766748631362 32.67336532617336)
03/01/2021 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,50,POINT (-117.0294681170711 32.54316318124256)
09/01/2014 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,,POINT (-114.72822550381008 32.718470005577316)
04/01/2014 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,,POINT (-115.38766748631362 32.67336532617336)
01/01/2019 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,15,POINT (-117.0294681170711 32.54316318124256)
06/01/2016 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,32,POINT (-116.62749875679889 32.57652396492499)
08/01/2012 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Standard,85,POINT (-117.0294681170711 32.54316318124256)
12/01/2011 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,0,POINT (-115.38766748631362 32.67336532617336)
05/01/2019 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,38,POINT (-117.0294681170711 32.54316318124256)
04/01/2012 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,21,POINT (-115.49633142030937 32.665128403179615)
06/01/2020 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,16,POINT (-115.49633142030937 32.665128403179615)
01/01/2013 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
09/01/2016 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,,POINT (-114.72822550381008 32.718470005577316)
10/01/2016 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,19,POINT (-115.49633142030937 32.665128403179615)
05/01/2019 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,1,POINT (-114.72822550381008 32.718470005577316)
01/01/2019 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,Standard,5,POINT (-115.38766748631362 32.67336532617336)
01/01/2021 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,8,POINT (-114.72822550381008 32.718470005577316)
01/01/2019 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,7,POINT (-116.62749875679889 32.57652396492499)
03/01/2017 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,2,POINT (-116.62749875679889 32.57652396492499)
08/01/2020 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,Standard,9,POINT (-115.38766748631362 32.67336532617336)
11/01/2021 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,20,POINT (-116.62749875679889 32.57652396492499)
08/01/2017 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,38,POINT (-115.38766748631362 32.67336532617336)
11/01/2019 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,58,POINT (-115.38766748631362 32.67336532617336)
04/01/2012 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,FAST,9,POINT (-115.38766748631362 32.67336532617336)
09/01/2015 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,,POINT (-114.72822550381008 32.718470005577316)
03/01/2012 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,SENTRI,1,POINT (-115.38766748631362 32.67336532617336)
07/01/2013 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,SENTRI,,POINT (-115.49633142030937 32.665128403179615)
11/01/2014 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,8,POINT (-117.0294681170711 32.54316318124256)
10/01/2019 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,10,POINT (-117.0294681170711 32.54316318124256)
10/01/2015 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,SENTRI,,POINT (-115.49633142030937 32.665128403179615)
06/01/2018 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,17,POINT (-117.0294681170711 32.54316318124256)
09/01/2016 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Standard,22,POINT (-117.0294681170711 32.54316318124256)
11/01/2012 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,,POINT (-115.49633142030937 32.665128403179615)
07/01/2021 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,8,POINT (-115.49633142030937 32.665128403179615)
04/01/2015 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,,POINT (-115.49633142030937 32.665128403179615)
03/01/2019 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,23,POINT (-114.72822550381008 32.718470005577316)
06/01/2014 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
03/01/2016 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Standard,51,POINT (-117.0294681170711 32.54316318124256)
07/01/2012 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,21,POINT (-114.72822550381008 32.718470005577316)
03/01/2016 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,SENTRI,,POINT (-115.38766748631362 32.67336532617336)
03/01/2015 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,,POINT (-115.38766748631362 32.67336532617336)
10/01/2021 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,14,POINT (-115.49633142030937 32.665128403179615)
09/01/2016 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,,POINT (-115.49633142030937 32.665128403179615)
05/01/2021 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,21,POINT (-116.62749875679889 32.57652396492499)
03/01/2019 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,62,POINT (-115.49633142030937 32.665128403179615)
03/01/2022 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,71,POINT (-117.0294681170711 32.54316318124256)
04/01/2016 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,,POINT (-114.72822550381008 32.718470005577316)
07/01/2018 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,50,POINT (-117.0294681170711 32.54316318124256)
04/01/2015 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Standard,30,POINT (-117.0294681170711 32.54316318124256)
10/01/2021 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,35,POINT (-115.38766748631362 32.67336532617336)
12/01/2020 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,10,POINT (-117.0294681170711 32.54316318124256)
10/01/2014 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,Standard,,POINT (-115.38766748631362 32.67336532617336)
04/01/2021 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,44,POINT (-116.62749875679889 32.57652396492499)
03/01/2020 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,4,POINT (-117.0294681170711 32.54316318124256)
08/01/2017 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,13,POINT (-115.49633142030937 32.665128403179615)
07/01/2012 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,46,POINT (-115.49633142030937 32.665128403179615)
11/01/2021 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,29,POINT (-115.49633142030937 32.665128403179615)
07/01/2018 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,0,POINT (-115.38766748631362 32.67336532617336)
10/01/2015 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,,POINT (-115.49633142030937 32.665128403179615)
10/01/2020 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,27,POINT (-115.38766748631362 32.67336532617336)
03/01/2022 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,41,POINT (-116.62749875679889 32.57652396492499)
10/01/2012 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,,POINT (-114.72822550381008 32.718470005577316)
01/01/2016 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,23,POINT (-116.62749875679889 32.57652396492499)
04/01/2021 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,63,POINT (-117.0294681170711 32.54316318124256)
09/01/2012 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Standard,31,POINT (-117.0294681170711 32.54316318124256)
